text,label,source_type,category,published_date,url,prediction,confidence
A photo showing Mitch McConnell and his wife is from his 2023 hospitalization or is AI generated.,0,PolitiFact,FALSE,2026,https://api.politifact.com/factchecks/list/?ruling=false,0,58.804285526275635
"U.S. Sen. Jon Ossoff cast the deciding vote for the inflation disaster, referring to the 2022 Inflation Reduction Act.",0,PolitiFact,FALSE,2026,https://api.politifact.com/factchecks/list/?ruling=false,1,59.16503071784973
Benefits of the 21st Century ROAD to Housing Act are going to go to a lot of people who are in the country illegally to build houses for them.,0,PolitiFact,FALSE,2026,https://api.politifact.com/factchecks/list/?ruling=false,1,53.86885404586792
"Sen. Susan Collins sided with Trump, giving billionaires and corporations a handout paid for by cuts to Medicaid and SNAP.",0,PolitiFact,FALSE,2026,https://api.politifact.com/factchecks/list/?ruling=false,1,51.03692412376404
The Obama Presidential Center is requiring photo ID to enter.,0,PolitiFact,FALSE,2026,https://api.politifact.com/factchecks/list/?ruling=false,0,66.60605669021606
A 20/30 vision score means people have to be at 20 feet to see things that I can see at 30 feet.,0,PolitiFact,FALSE,2026,https://api.politifact.com/factchecks/list/?ruling=false,1,69.10027265548706
Democratic candidate Graham Platner's oyster business is totally fake.,0,PolitiFact,FALSE,2026,https://api.politifact.com/factchecks/list/?ruling=false,0,64.10805583000183
"Los Angeles mayoral candidate Spencer Pratt got zero out of 24,000 votes in a late-night ballot drop.",0,PolitiFact,FALSE,2026,https://api.politifact.com/factchecks/list/?ruling=false,1,75.07821917533875
This video shows a June 2026 earthquake in the Philippines.,0,PolitiFact,FALSE,2026,https://api.politifact.com/factchecks/list/?ruling=false,0,57.91821479797363
"Los Angeles mayoral candidate Nithya Raman had conceded the race as of June 7, 2026.",0,PolitiFact,FALSE,2026,https://api.politifact.com/factchecks/list/?ruling=false,1,73.71770739555359
Iowa Senate candidate Josh Turek supports sex changes for kids.,0,PolitiFact,FALSE,2026,https://api.politifact.com/factchecks/list/?ruling=false,0,56.01164102554321
Donald Trump's cognitive test results showed extreme intelligence.,0,PolitiFact,FALSE,2026,https://api.politifact.com/factchecks/list/?ruling=false,1,58.347803354263306
A video shows workers removing President Donald Trump's name from the Kennedy Center.,0,PolitiFact,FALSE,2026,https://api.politifact.com/factchecks/list/?ruling=false,0,61.18496656417847
President Donald Trump signed a law increasing the minimum wage to $25 per hour beginning June 1.,0,PolitiFact,FALSE,2026,https://api.politifact.com/factchecks/list/?ruling=false,1,68.57464909553528
Texas Senate candidate James Talarico is a vegan.,0,PolitiFact,FALSE,2026,https://api.politifact.com/factchecks/list/?ruling=false,0,60.25090217590332
The federal government created a reserve similar to a new $1.776 billion anti-weaponization settlement fund on numerous occasions.,0,PolitiFact,FALSE,2026,https://api.politifact.com/factchecks/list/?ruling=false,1,73.29689264297485
San Diego mosque shooters were identified as a transgender couple.,0,PolitiFact,FALSE,2026,https://api.politifact.com/factchecks/list/?ruling=false,0,58.147406578063965
An American passenger on the cruise ship involved in the hantavirus outbreak was a crisis actor.,0,PolitiFact,FALSE,2026,https://api.politifact.com/factchecks/list/?ruling=false,0,53.75528335571289
Images show people infected with hantavirus.,0,PolitiFact,FALSE,2026,https://api.politifact.com/factchecks/list/?ruling=false,0,59.85262989997864
There are more children sleeping in New York City homeless shelters than there are seats in Yankee Stadium.,0,PolitiFact,FALSE,2026,https://api.politifact.com/factchecks/list/?ruling=false,1,84.44117903709412
Gasoline prices came down very substantially today.,0,PolitiFact,FALSE,2026,https://api.politifact.com/factchecks/list/?ruling=false,1,83.2512617111206
The 1965 Voting Rights Act was passed because the Democratic Party was racially gerrymandering districts in the South.,0,PolitiFact,FALSE,2026,https://api.politifact.com/factchecks/list/?ruling=false,1,55.79841136932373
California has enough oil and gas supply to meet demand for only six weeks.,0,PolitiFact,FALSE,2026,https://api.politifact.com/factchecks/list/?ruling=false,1,82.58042335510254
Consumer confidence is way up.,0,PolitiFact,FALSE,2026,https://api.politifact.com/factchecks/list/?ruling=false,1,69.23649907112122
"Under federal law, partisan gerrymandering is prohibited.",0,PolitiFact,FALSE,2026,https://api.politifact.com/factchecks/list/?ruling=false,1,53.24462652206421
Nine hundred fifty immigrants demolished the border wall between Mexico and the United States in April 2026.,0,PolitiFact,FALSE,2026,https://api.politifact.com/factchecks/list/?ruling=false,1,80.73143362998962
The Secret Service remained unpaid during the partial government shutdown.,0,PolitiFact,FALSE,2026,https://api.politifact.com/factchecks/list/?ruling=false,1,59.987568855285645
This is unedited raw security footage of the shooter at the April 25 White House Correspondents' Association dinner.,0,PolitiFact,FALSE,2026,https://api.politifact.com/factchecks/list/?ruling=false,0,59.36539173126221
"After the attack on Trump at the White House Correspondents' dinner, Iran sent a message saying not to believe him.",0,PolitiFact,FALSE,2026,https://api.politifact.com/factchecks/list/?ruling=false,0,50.615012645721436
 Israeli Prime Minister Benjamin Netanyahu was killed in an Iranian missile attack.,0,Snopes,FALSE,12-03-2026,https://www.snopes.com/news/2026/03/12/benjamin-netanyahu-dead-rumor/,0,51.103681325912476
 A video of Israeli Prime Minister Benjamin Netanyahu drinking coffee proves that reports of his death were true or that the video was fabricated.,0,Snopes,FALSE,16-03-2026,https://www.snopes.com/fact-check/netanyahu-alive-coffee-video/,0,65.03039598464966
Actor Kurt Russell said children should not watch cartoons with LGBTQ themes and should be raised according to traditional values.,0,Snopes,FALSE,18-03-2026,https://www.snopes.com/fact-check/kurt-russell-kids-watch-cartoons-lgbtq/,1,54.97027039527893
Videos show Jeffrey Epstein alive and driving in Florida after his reported death in 2019.,0,Snopes,FALSE,17-03-2026,https://www.snopes.com/news/2026/03/17/epstein-driving-florida-video/,0,72.43344187736511
Kurt Russell received a Kennedy Center Honor from Donald Trump in a ceremony described in a viral post.,0,Snopes,FALSE,02-04-2026,https://www.snopes.com/fact-check/kurt-russell-kennedy-center-trump/,1,50.31486749649048
Wendy's hamburgers contain horse meat.,0,Snopes,FALSE,10-11-2014,https://www.snopes.com/fact-check/false-wendys-restaurants-admits-horse-meat/,1,61.32051348686218
"Netanyahu said Trump's new Gaza plan was unacceptable, according to Reuters.",1,Reuters,reported,10-08-2026,https://www.reuters.com/world/,1,72.96509146690369
The Yemeni military said a Houthi attack on Mocha killed seven people and wounded 30.,1,Reuters,reported,10-08-2026,https://www.reuters.com/world/,1,83.40767025947571
"Ukraine and Russia accused each other of lethal attacks, while Odesa port was damaged, Reuters reported.",1,Reuters,reported,10-08-2026,https://www.reuters.com/world/,1,87.36549615859985
"British Columbia was set to receive federal assistance as wildfires forced evacuations, according to Reuters.",1,Reuters,reported,10-08-2026,https://www.reuters.com/world/,1,65.13837575912476
"A fire near Indonesia's Mount Bromo was extinguished after 550 hectares burned, although new hotspots emerged, Reuters reported.",1,Reuters,reported,10-08-2026,https://www.reuters.com/world/,1,98.67750406265259
"Taiwan simulated repelling a Chinese assault during annual war games, with the exercises expected to slow mobile internet, Reuters reported.",1,Reuters,reported,10-08-2026,https://www.reuters.com/world/,1,97.27109670639038
Typhoon Dolphin hit China's east coast and more than one million people were evacuated. The storm had maximum sustained winds of 93 miles per hour near landfall.,1,Reuters,reported,10-08-2026,https://www.reuters.com/world/,1,93.56682896614075
"The United States sanctioned a Dubai crypto exchange for allegedly aiding Iran's Islamic Revolutionary Guard Corps, following a Reuters report.",1,Reuters,reported,09-08-2026,https://www.reuters.com/markets/,1,55.49120903015137
"The U.S. Senate advanced a landmark cryptocurrency bill before the August recess, Reuters reported.",1,Reuters,reported,08-08-2026,https://www.reuters.com/business/,1,86.55983805656433
"Taylor Farms recalled salsa and guacamole over a salmonella risk, according to Reuters.",1,Reuters,reported,08-08-2026,https://www.reuters.com/business/,1,62.031251192092896
"Sony and TSMC planned to spend $6.3 billion jointly making image sensors, according to Nikkei and reported by Reuters.",1,Reuters,reported,08-08-2026,https://www.reuters.com/business/,1,75.9838879108429
"Berkshire accelerated buybacks and lowered its cash stake as profit topped forecasts, Reuters reported.",1,Reuters,reported,08-08-2026,https://www.reuters.com/business/,1,89.23776745796204
Travelodge staff gave domestic abuser key to his victim's room. A woman told the BBC her attacker kicked her hotel room door off its hinges after reception gave him the key.,1,BBC,reported,10-08-2026,https://www.bbc.co.uk/news/articles/cvgx1v922p5o?at_medium=RSS&at_campaign=rss,0,50.070059299468994
Burnham brings forward ban on subscription traps to ease cost of living. The prime minister is embarking on a UK tour with announcements aimed at easing living costs.,1,BBC,reported,10-08-2026,https://www.bbc.co.uk/news/articles/cly5x9qlnvjo?at_medium=RSS&at_campaign=rss,1,60.50381064414978
Suspected crime boss Daniel Kinahan appears in court after extradition. The Irish Prison Service bought a bulletproof and bombproof van to transport the 49-year-old to court after his extradition from Dubai.,1,BBC,reported,09-08-2026,https://www.bbc.co.uk/news/articles/c62qd5plzp6o?at_medium=RSS&at_campaign=rss,1,54.4431209564209
"Evidence that South African special forces murdered top detective shared with BBC. Frans Mathipa was shot while driving, and the BBC accessed the prosecution case against eight accused men.",1,BBC,reported,09-08-2026,https://www.bbc.co.uk/news/articles/cly8djwgem0o?at_medium=RSS&at_campaign=rss,1,62.87127733230591
"China evacuates one million from homes as massive storm arrives. Typhoon Dolphin made landfall, bringing strong winds and heavy rain across eastern China including Shanghai.",1,BBC,reported,10-08-2026,https://www.bbc.co.uk/news/articles/cx2rgzyplg2o?at_medium=RSS&at_campaign=rss,1,89.50431942939758
